list_id,list_name,list_label
1,national,contractors
2,leading edge,external
3,bi-directional,contractors
4,mobile,contractors
5,discrete,frontend
6,Down-sized,contractors
7,moratorium,backend
8,methods,urgent
9,Intuitive,ux
10,tangible,estimates
11,infrastructure,ux
12,Future-proofed,backend
13,Progressive,frontend
14,support,external
15,firma,database
16,strategy,database
17,Graphic Interface,database
18,Programmable,estimates
19,regional,external
20,policy-external,ui
21,interface C,backend
22,Multi-channelled,frontend
23,Fundamental,frontend
24,optimal,database
25,homogeneous,backend
26,Sharable,unimportant
27,Centralized,database
28,User-centric,estimates
29,Persevering,unimportant
30,Universal,estimates
31,Mandatory,ux
32,Phased,external
33,methodical,external
34,Multi-layering,ui
35,Multi-layered,contractors
36,analyse,external
37,Versatile,frontend
38,Right-sized,estimates
39,interface D,database
40,system-worthy,frontend
41,installation,top-priority
42,collaboration,urgent
43,methodology,backend
44,Up-scaled,top-priority
45,Integrated,database
46,process improvement,database
47,info-mediaries,unimportant
48,Networks,frontend
49,web-enabled,ui
50,need-based,database
51,closed architecture,estimates
52,standardisation,ux
53,stable,external
54,functionality,estimates
55,directional,ui
56,mission-critical,urgent
57,non-pre-emptive,external
58,client-driven,external
59,context-sensitive,ux
60,Synchronized,ui
61,value-added,ux
62,co-multi-lateral,urgent
63,interface A,contractors
64,system-worth,backend
65,nationality,external
66,Focused,estimates
67,protocols,backend
68,knowledge base,frontend
69,Expanded,ui
70,Assimilation,unimportant
71,protocol,ui
72,6th generation,backend
73,emulation,external
74,single-tiered,external
75,incremental,urgent
76,projects,urgent
77,heuristics,external
78,Multi-tiered,urgent
79,discretion,backend
80,heuristic,frontend
81,exuding,unimportant
82,systemic,database
83,Horizontal,urgent
84,zero administration,ui
85,policy-internal,unimportant
86,portal,database
87,Customizable,external
88,zero defect,external
89,well-modulated,ux
90,global,backend
91,Decentralized,urgent
92,Multi-channels,urgent
93,Realigned,urgent
94,econ-centric,top-priority
95,Organic,frontend
96,analyzing,top-priority
97,Fundamentals,external
98,Innovative,top-priority
99,impactful,top-priority
100,Networking,external
101,conglomerate,estimates
102,radicals,unimportant
103,upward-trending,ux
104,dynamic,ux
105,backgrounds,contractors
106,Fully-configurable,backend
107,supply-driven,external
108,Totals,database
109,security line,contractors
110,all-encompassing,contractors
111,optimizing,external
112,sub-optimal,backend
113,Virtual,external
114,system architecture,estimates
115,needs-based,backend
116,Real,top-priority
117,analysing,top-priority
118,migrants,urgent
119,radical,contractors
120,foreground,external
121,analyze,external
122,accessibility,estimates
123,neutral,urgent
124,Pre-emptive,contractors
125,executive,backend
126,interactive,backend
127,Regression,contractors
128,contextually-based,urgent
129,frame,top-priority
130,functionalities,top-priority
131,Adaptive,top-priority
132,accessing,urgent
133,paradigm,ui
134,project,estimates
135,Compatible,estimates
136,migration,contractors
137,User-friendly,backend
138,24/7 365,urgent
139,process improvisation,unimportant
140,task-force,backend
141,standardization,frontend
142,eco-centrism,ux
143,application,urgent
144,reciprocal,backend
145,mission-abort,frontend
146,complexity,ux
147,cohesive,backend
148,Visionary,estimates
149,initiative,database
150,asynchronous,contractors
151,time-frame,top-priority
152,explicit,contractors
153,artificial intelligence,ui
154,fault-tolerance,unimportant
155,encompassing,ui
156,benchmark,top-priority
157,object-oriented,top-priority
158,Total,contractors
159,open system,backend
160,policy,contractors
161,secured line,database
162,core,urgent
163,De-engineered,external
164,access,frontend
165,interface B,backend
166,background,estimates
167,bandwidth-monitored,top-priority
168,approach,top-priority
169,Enterprise-wide,unimportant
170,secondary,ui
171,demand-driven,ui
172,secured capital,contractors
173,website,backend
174,dedicated,urgent
175,24/7,backend
176,Ergonomic,frontend
177,solution,ui
178,real-time,ui
179,monitoring,external
180,fault-tolerant,contractors
181,Multi-lateral,estimates
182,Enhanced,urgent
183,Synchronised,database
184,Robust,contractors
185,human-resource,ui
186,challenge,ux
187,firmware,contractors
188,user-facing,database
189,Assimilated,contractors
190,conglomeration,urgent
191,non-contextually-based,frontend
192,Integration,urgent
193,Networked,top-priority
194,Synergized,urgent
195,hybrid,ux
196,encryption,unimportant
197,strats,backend
198,open architecture,estimates
199,eco-centric,database
200,Devolved,urgent
